Character_Name,Character_dialogue,num_palabras,sentimiento
Merovingian," Yes, of course, who has time? Who has time? But then if we do not ever take time, how can we ever have time? Château Haut-Brion 1959, magnificent wine, I love French wine, like I love the French language. I have sampled every language, French is my favourite – fantastic language, especially to curse with. Nom de Dieu de putain de bordel de merde de saloperies de connards d’enculés de ta mère. You see, it’s like wiping your arse with silk, I love it.",84,0.9876
Morpheus, You know why we are here.,6,0.0
Merovingian," Hmph… I am a trafficker of information, I know everything I can. The question is, do you know why you are here?",22,0.0
Morpheus, We are looking for the Keymaker.,6,0.0
Merovingian," Oh yes, it is true. The Keymaker, of course. But this is not a reason, this is not a `why.’ The Keymaker himself, his very nature, is means, it is not an end, and so, to look for him is to be looking for a means to do… what?",49,0.4118
Neo, You know the answer to that question.,7,0.0
Merovingian," But do you? You think you do but you do not. You are here because you were sent here, you were told to come here and you obeyed. [Laughs] It is, of course, the way of all things. You see, there is only one constant, one universal, it is the only real truth",53,0.4497
Morpheus, Everything begins with choice.,4,0.0
Merovingian," No. Wrong. Choice is an illusion, created between those with power, and those without. Look there, at that woman. My God, just look at her. Affecting everyone around her, so obvious, so bourgeois, so boring. But wait… Watch – you see, I have sent her dessert, a very special dessert. I wrote it myself. It starts so simply, each line of the program creating a new effect, just like poetry. First, a rush… heat… her heart flutters. You can see it, Neo, yes? She does not understand why – is it the wine? No. What is it then, what is the reason? And soon it does not matter, soon the why and the reason are gone, and all that matters is the feeling itself. This is the nature of the universe. We struggle against it, we fight to deny it, but it is of course pretense, it is a lie. Beneath our poised appearance, the truth is we are completely out of control. Causality. There is no escape from it, we are forever slaves to it. Our only hope, our only peace is to understand it, to understand the `why.’ `Why’ is what separates us from them, you from me. `Why’ is the only real social power, without it you are powerless. And this is how you come to me, without `why,’ without power. Another link in the chain. But fear not, since I have seen how good you are at following orders, I will tell you what to do next. Run back, and give the fortune teller this message",260,0.8576
Neo, This isn’t over.,3,0.0
Merovingian," Oh yes, it is. The Keymaker is mine and I see no reason why I should give him up. No reason at all.",23,-0.1779
Persephone, Where are you going?,4,0.0
Merovingian," Please, ma chérie, I’ve told you, we are all victims of causality. I drink too much wine, I must take a piss. Cause and effect. Au revoir.",27,-0.4019
Trinity," Touch me, and that hand will never touch anything again.",10,0.4939
Neo," Well, that didn’t go so well.",6,0.5915
Morpheus, Are you certain the Oracle didn’t say anything else?,9,0.2732
Neo, Yes.,1,0.4019
Trinity, Maybe we did something wrong.,5,-0.4767
Neo, Or didn’t do something.,4,0.0
Morpheus," No, what happened happened and couldn’t have happened any other way.",11,-0.296
Neo, How do you know?,4,0.0
Morpheus, We are still alive.,4,0.3818
Persephone," If you want the Keymaker, follow me. [to man in washroom] Get out! I’m so sick of his bullshit. On and on, pompous prick. A long time ago, when we first came here, it was so different. He was so different. He was like you. I’ll give you what you want. But you have to give me something.",58,-0.6076
Neo, What?,1,0.0
Persephone, A kiss.,2,0.4215
Trinity, Excuse me?,2,0.0772
Persephone, I want you to kiss me as if you were kissing her.,12,0.7783
Neo, Why?,1,0.0
Persephone," You love her. She loves you. It’s all over you both. A long time ago, I knew what that felt like. I want to remember it. I want to sample it. That’s all, just a sample.",36,0.9001
Trinity, Why don’t you sample this instead?,6,0.0
Morpheus, Trinity.,1,0.0
Persephone, Such emotion over something so small. It’s just a kiss.,10,0.4215
Neo, Why should we trust you?,5,0.5106
Persephone," If I don’t deliver you to the Keymaker, she can kill me.",12,-0.6908
Neo, All right.,2,0.0
Persephone, But you have to make me believe I am her.,10,0.0
Neo, All right.,2,0.0
Persephone, Terrible. Forget it.,3,-0.6124
Neo, Wait. Okay.,2,0.2263
Persephone," Ahh, yes. That’s it. I envy you. But such a thing is not meant to last. Come with me.",19,0.0772
Link, Not again!,2,0.0
Persephone," It’s all right, boys, they’re with me. These fellas work for my husband, they do his dirty work. They’re very good, very loyal. Aren’t you, boys?",26,0.6059
Cain and Abel," Yes, Mistress.",2,0.4019
Persephone," They come from a much older version of the Matrix, but like so many back then, they caused more problems than they solved. My husband saved them because they’re notoriously difficult to terminate. How many people keep silver bullets in their gun? You can either run to the restaurant and tell my husband what I have done, or you can stay there and die. He’s in the ladies’ room… [to Neb crew] Hurry.",73,-0.7958
Neo, My name is Neo.,4,0.0
Keymaker," Yes, I’m the Keymaker, I’ve been waiting for you.",9,0.4019
Merovingian," Oh God, my God, Persephone how could you do this, you betrayed me [speaking French]!",15,-0.2714
Persephone," Cause and effect, my love.",5,0.6369
Merovingian," Cause? There is no cause for this, what cause?",9,-0.3736
Persephone, What cause? How about the lipstick you’re still wearing?,9,0.0
Merovingian," Lipstick? Lipstick? What craziness you are talking about woman, there is no lipstick.",13,-0.6322
Persephone," She wasn’t kissing your face, my love.",7,0.836
Merovingian," Ai-ai-ai-ai-ai-ai, woman, this is nothing, c’est rien, c’est rien du tout. It’s a game, it is only a game.",19,-0.128
Persephone, So is this. Have fun.,5,0.5106
Merovingian," All right. All right. Let us find out where this goes. You two, get the Keymaker.",16,0.0
Trinity, That’s a nice trick.,4,0.3818
Keymaker, I cannot go back.,4,0.0
Neo, I’ll handle them.,3,0.0
Merovingian," Handle us? You’ll handle us? You know, your predecessors had much more respect.",13,0.5794
Merovingian," Okay, you have some skill. Kill him.",7,-0.5859
Merovingian," You see, he’s just a man.",6,0.0
Merovingian," Damn it, woman, you will be the end of me. Mark my words, boy, and mark them well. I have survived your predecessors, and I will survive you!",28,0.4574
Trinity, Where are you going?,4,0.0
Keymaker," Another way, always another way. Close it, quick.",8,0.0
Twin 1, Could we move along?,4,0.0
Keymaker, Run!,1,0.0
Twin 2, Step away from the door.,5,0.0
Twin 2, We owe you for that.,5,0.0
Twin 1, Just like new.,3,0.3612
Twin 2, Drop your weapon.,3,-0.5106
Morpheus, Stay with him.,3,0.0
Trinity, What about Neo?,3,0.0
Morpheus, He can handle himself.,4,0.0
Trinity, Get in the back.,4,0.0
Neo, Oh shit.,2,-0.5574
Link, Operator.,1,0.0
Neo," Link, where am I?",4,0.0
Link," You’re not gonna believe this, but you’re all the way up in the mountains.",14,0.0
Neo, Really.,1,0.0
Link," Yeah, it’s gonna take me a while to get up an exit. Oh shit.",14,-0.34
Neo, What?,1,0.0
Link," Those Twin things are after Morpheus and Trinity, and I don’t have a way to get them out.",18,0.0
Neo, Where are they?,3,0.0
Link," Middle of the City, 500 miles due south.",8,0.0
Link, Operator.,1,0.0
Morpheus," Get us out of here, Link.",6,0.0
Link," That won’t be easy, sir.",5,0.4404
Morpheus, I know. We’re inside the core network.,7,0.0
Link, Yes sir. The only exit I got near you is the Winsor[?] overpass.,13,0.4019
Morpheus, Off the freeway?,3,0.0516
Link," Yes, sir.",2,0.4019
Morpheus," Fine, we’ll make it.",4,0.2023
Link," Sir, I think I should say… oh shit, look out behind you!",12,-0.5983
Link, Incoming fire!,2,-0.4003
Morpheus, Down!,1,0.0
Trinity, Hold on!,2,0.0
Link," Oh no, this is getting real ugly real fast.",9,-0.6705
Morpheus," Are you watching this, Link?",5,0.0
Link," Yes sir, there’s an all-points on you, I make 8 units headed your way.",14,0.4019
Morpheus, Any suggestions?,2,0.0
Link, Turn right.,2,0.0
Morpheus," Right, now!",2,0.0
Link," Now straight here, go through the next branch, you’ll hit a connecting tunnel to the 101.",16,0.2263
Morpheus, Got it.,2,0.0
Link," Sir, are you sure about this? The freeway, I mean. It’s dangerous, in 14 years of operating, I’ve never seen…",20,-0.1531
Morpheus," Link, what did I tell you?",6,0.0
Link," Yes sir, I do, sir, Winsor[?] overpass, I’ll be ready for you.",12,0.6369
Morpheus, Good man.,2,0.4404
Trinity, You always told me to stay off the freeway.,9,0.0516
Morpheus," Yes, that’s true.",3,0.6705
Trinity, You said it was suicide.,5,-0.6705
Morpheus, Then let us hope that I was wrong.,8,-0.0516
Link, Operator.,1,0.0
Niobe," Link, it’s Niobe. We’ve been sent to bring you in. I need to talk to Morpheus.",16,0.0
Link," Believe me, Niobe, he needs you.",6,0.0
Niobe, Where is he?,3,0.0
Link, Just follow the sirens.,4,0.0
Cop, They’re approaching…,2,0.0
Agent Thompson, We have them now.,4,0.0
Agent Johnson, The exile is the primary target.,6,0.0
Morpheus, Move!,1,0.0
Twin 1, We are getting aggravated.,4,-0.4404
Twin 2, Yes we are,3,0.4019
Morpheus, Trinity! Get him out of here.,6,0.0
Trinity, Come on!,2,0.0
Trinity, Morpheus.,1,0.0
Link," He’s okay, keep moving.",4,0.2263
Trinity, Let’s go.,2,0.0
Trinity, I need a download to hotwire a motorcycle.,8,0.0
Link," Not a problem, one crash course in motorcycle…",8,0.5448
Trinity, Wait. Cancel that. [to Keymaker] You are handy. Jump on.,10,-0.25
Agent Johnson, She means nothing.,3,0.0
Agent Thompson, Find the exile.,3,0.0
Agent Johnson, We have them.,3,0.0
Cop from Speaker," One Adam Twelve, please respond.",5,0.3182
Morpheus, Get down.,2,0.0
Niobe, Gotcha.,1,0.0
Link, She’s good.,2,0.4404
Agent, You are no longer necessary.,5,-0.296
Keymaker, We do only what we’re meant to do.,8,0.0
Agent, Then you are meant for one more thing. Deletion.,9,0.0
Niobe, Go kick his ass.,4,-0.5423
Morpheus," Neo, if you’re out there, I could use some help.",10,0.4019
Link, What is that?,3,0.0
Link, Yess!,1,0.0
Keymaker," There’s a building. Inside this building there’s a level where no elevator can go, and no stair can reach. This level is filled with doors. These doors lead to many places, hidden places, but one door is special. One door leads to the Source. This building is protected by a very secure system. Every alarm triggers the bomb.",58,0.3377
Vector, Bomb? Did he say bomb?,5,-0.7757
Keymaker, But like all systems it has a weakness. The system is based on the rules of a building. One system built on another.,23,-0.1154
Morpheus, Electricity.,1,0.0
Keymaker," If one fails, so must the other.",7,-0.4215
Niobe," No electricity, no alarms.",4,-0.6705
Ghost, But you’d have to take out a whole city block to kill the power to a building like that.,19,-0.8462
Keymaker," Not one, 27.",3,0.0
Vector, 27 blocks?,2,-0.2263
Keymaker, There is a power station. it must be destroyed.,9,-0.4939
Niobe, There must be some kind of failsafe.,7,0.0
Keymaker," Yes, there is an emergency system. The core network of the grid must be accessed. The emergency system must be deactivated.",21,-0.3612
Soren, Then what do you need us for? Neo could take ’em both out easier than we could.,17,0.4215
Keymaker, There’s no time.,3,-0.296
Niobe, Why?,1,0.0
Keymaker," Once the door is unprotected, the connection will be severed. But another connection must first be made.",17,-0.3612
Ghost, How long will that take?,5,0.0
Keymaker, Exactly 314 seconds.,3,0.0
Soren, Just over 5 minutes.,4,0.0
Keymaker," That is the length and breadth of the window. Only The One can open the door, and only during that window can the door be opened.",26,0.0
Niobe, How do you know all this?,6,0.0
Keymaker, I know because I must know. It’s my purpose. It’s the reason I’m here. Same reason we’re all here.,19,0.0
Trinity," Neo, I know something’s wrong. You don’t have to tell me. I just want you to know that I’m here.",20,-0.4215
Keymaker, All must be done as one.,6,0.0
Link, Can’t hurt.,2,-0.5267
Keymaker," If one fails, all fail.",5,-0.743
Morpheus," At midnight, there’s a shift change in the security of both buildings. At midnight, we will strike.",17,0.2263
Guard 1, Hey! You count sheep at home.,6,0.0
Guard 2," Why, I get paid to count ’em here.",8,0.0
Jax," Okay, they’re inside.",3,0.2263
Axel, How much time?,3,0.0
Jax, 12 minutes.,2,0.0
Axel, Oh shit!,2,-0.5983
Morpheus," All of our lives we have fought this war. Tonight I believe we can end it. Tonight is not an accident. There are no accidents. We have not come here by chance. I do not believe in chance when I see 3 objectives, 3 captains, 3 ships. I do not see coincidence, I see providence, I see purpose. I believe it is our fate to be here. It is our destiny. I believe this night holds for each and every one of us the very meaning of our lives.",89,-0.7069
Neo," I want to ask you to do something, but I don’t know how.",13,0.0387
Trinity," I promise you, if I can, I will.",8,0.3182
Neo," What if I asked you to stay out of this, no matter what. To stay out of the matrix?",19,-0.34
Trinity, Why?,1,0.0
Neo, Please.,1,0.3182
Trinity, All right.,2,0.0
Morpheus," What is it, Niobe?",4,0.0
Niobe," I can’t help it, Morpheus, I can’t help thinking – what if you’re wrong. What if all this – the prophecy, everything – is bullshit.",25,-0.3612
Morpheus," Then tomorrow we may all be dead, but how would that be different from any other day? This is a war, and we are soldiers. Death can come for us at any time, in any place.",36,-0.9366
Axel, Incoming. Incoming! Incoming!,3,0.0
Morpheus, Now consider the alternative. What if I am right? What if the prophecy is true? What if tomorrow the war could be over. Isn’t that worth fighting for? Isn’t that worth dying for?,33,-0.4137
Soren, Time?,1,0.0
Vector, 3 minutes.,2,0.0
Binary, Almost there.,2,0.0
Keymaker, It is time.,3,0.0
Trinity, Find the others.,3,0.0
Link," Got Niobe right there, they’re already out of the station.",10,0.0
Trinity, What about Soren?,3,0.0
Link," There, they’re still inside, but…",5,0.0
Trinity, They’re not moving.,3,0.0
Morpheus," That’s it, let’s go.",4,0.0
Trinity, Call Neo now.,3,0.0
Link, Lost them. They’re inside the portal.,6,-0.3182
Trinity, What about the grid?,4,0.0
Link," Everything’s still operational. Emergency system’s already rerouting power. Jesus. As soon as they open that door, it’s all over.",19,-0.3818
Trinity, The hell it is.,4,-0.6808
Link, What are you… Trinity?,4,0.0
Trinity, I will not stand here and do nothing. I will not wait here to watch them die.,17,-0.5994
Link," Trinity, we’re talking less then 5 minutes here.",8,0.0
Trinity," In 5 minutes, I’ll tear that whole goddamn building down.",10,-0.4767
Neo, How much further?,3,0.0
Keymaker," Here, just here.",3,0.0
Smith," I’m sorry, this is a dead end.",7,-0.6808
Link, It’s gotta be the ugliest hack I have ever done. That’s as close as I can get ya. You better grow some wings.,23,-0.2263
Link, Operator.,1,0.0
Trinity, I’m in.,2,0.0
Link," Keep moving, 65th floor.",4,0.0
Smith," you look surprised to see me again, Mr. Anderson, that’s the difference between us. I’ve been expecting you.",18,0.2263
Neo," What do you want, Smith?",5,0.0772
Smith, Oh you haven’t figured that out? Still using all the muscles except the one that matters. I want exactly what you want. I want everything.,25,0.25
Morpheus, Would that include a bullet from this gun?,8,-0.4118
Smith," Go ahead, shoot. The best thing about being me – there’s so many me.",14,0.4215
Computer Room Technician," Christ, what happened in here?",5,0.0
Computer Room Guard," Hold it right there, little lady.",6,0.0
Smith," If you can’t beat us, join us.",7,0.296
Neo, Morpheus!,1,0.0
Link," Still no sight of them. I don’t know what they’re doing, but they only got 2 minutes left.",18,-0.1531
Link, One minute!,2,0.0
Trinity, Come on. Come on. Please.,5,0.3182
Smiths, Kill them.,2,-0.6908
Link, They’re in. I don’t believe it.,6,0.0
Keymaker," It was meant to be. Morpheus. That door will take you home. [to Neo] You’ll know which door. Hurry, Neo.",20,0.0
Link," Trinity, I got some serious activity headed your way.",9,-0.0772
Link," We got a serious situation, sir.",6,-0.0772
Morpheus," Oh, no.",2,-0.296
Architect," Hello, Neo.",2,0.0
Neo, Who are you?,3,0.0
Architect, I am the Architect. I created the Matrix. I’ve been waiting for you.,13,0.25
Neo, Why am I here?,4,0.0
Architect," Your life is the sum of a remainder of an unbalanced equation inherent to the programming of the Matrix. You are the eventuality of an anomaly, which, despite my sincerest efforts, I have been unable to eliminate from what is otherwise a harmony of mathematical precision. While it remains a burden assiduously avoided, it is not unexpected, and thus not beyond a measure of control. Which has led you, inexorably… here.",71,-0.6224
Neo, You haven’t answered my question.,5,0.0
Architect, Quite right. Interesting. That was quicker than the others.,9,0.4549
TV Neos, Others? How many others? What others? Answer my question!,9,0.0
Architect," The Matrix is older than you know. I prefer counting from the emergence of one integral anomaly to the emergence of the next, in which case this is the 6th version.",31,0.0
TV Neos, 5 `One’s before me? 4 3 2 What are you talking about?,12,0.0
Neo," There are only two possible explanations, either no one told me, or no one knows.",15,-0.5267
Architect," Precisely. As you are undoubtedly gathering, the anomaly is systemic – creating fluctuations in even the most simplistic equations.",19,0.296
TV Neos, You can’t control me! I’m gonna smash you to bits! I’ll fuckin’ kill you!,14,-0.7633
Neo, Choice. The problem is choice.,5,-0.4019
Architect," The first Matrix I designed was quite naturally perfect, it was a work of art – flawless, sublime. A triumph equalled only by its monumental failure. The inevitability of its doom is apparent to me now as a consequence of the imperfection inherent in every human being. Thus, I redesigned it based on your history to more accurately reflect the varying grotesqueries of your nature. However, I was again frustrated by failure. I have since come to understand that the answer eluded me because it required a lesser mind, or perhaps a mind less bound by the parameters of perfection. Thus the answer was stumbled upon by another – an intuitive program, initially created to investigate certain aspects of the human psyche. If I am the father of the matrix, she would undoubtedly be its mother.",136,0.6682
Neo, The Oracle.,2,0.0
Architect," Please. As I was saying, she stumbled upon a solution whereby nearly 99% of all test subjects accepted the program, as long as they were given a choice, even if they were only aware of the choice at a near unconscious level. While this answer functioned, it was obviously fundamentally flawed, thus creating the otherwise contradictory systemic anomaly, that if left unchecked might threaten the system itself. Ergo those that refused the program, while a minority, if unchecked, would constitute an escalating probablility of disaster.",85,-0.5267
Neo, This is about Zion.,4,0.0
Architect," You are here because Zion is about to be destroyed – its every living inhabitant terminated, its entire existence eradicated.",20,-0.4939
Neo, Bullshit.,1,-0.5859
TV Neos, Bullshit!,1,-0.6239
Architect," Denial is the most predictable of all human responses, but rest assured, this will be the sixth time we have destroyed it, and we have become exceedingly efficient at it.",30,0.3919
Architect," The function of the One is now to return to the Source, allowing a temporary dissemination of the code you carry, reinserting the prime program. After which, you will be required to select from the Matrix 23 individuals – 16 female, 7 male – to rebuild Zion. Failure to comply with this process will result in a cataclysmic system crash, killing everyone connected to the Matrix, which, coupled with the extermination of Zion, will ultimately result in the extinction of the entire human race.",84,-0.886
Neo, You won’t let it happen. You can’t. You need human beings to survive.,13,0.0
Architect," There are levels of survival we are prepared to accept. However, the relevant issue is whether or not you are ready to accept the responsibility of the death of every human being on this world. It is interesting, reading your reactions. Your 5 predecessors were, by design, based on a similar predication – a contingent affirmation that was meant to create a profound attachment to the rest of your species, facilitating the function of the One. While the others experienced this in a very general way, your experience is far more specific – vis a vis love.",97,0.8831
Neo, Trinity.,1,0.0
Architect," Apropos, she entered the Matrix to save your life, at the cost of her own.",15,0.4939
Neo, No.,1,-0.296
Architect," Which brings us at last to the moment of truth, wherein the fundamental flaw is ultimately expressed, and the anomaly revealed as both beginning and end. There are two doors. The door to your right leads to the Source, and the salvation of Zion. The door to your left leads back to the Matrix, to her and to the end of your species. As you adequately put, the problem is choice. But we already know what you are going to do, don’t we? Already, I can see the chain reaction – the chemical precursors that signal the onset of an emotion, designed specifically to overwhelm logic and reason – an emotion that is already blinding you from the simple and obvious truth. She is going to die, and there is nothing you can do to stop it.",137,-0.8151
Architect," Hope. It is the quintessential human delusion, simultaneously the source of your greatest strength and your greatest weakness.",18,0.9136
Neo," If I were you, I would hope that we don’t meet again.",12,0.4404
Architect, We won’t.,2,0.0
Morpheus, What is that?,3,0.0
Link," Whatever it is, it’s moving faster than anything I’ve ever seen.",11,0.0
Link," Shit, he caught her!",4,-0.5983
Trinity," Neo, I had to.",4,0.0
Neo, I know. The bullet is still inside.,7,0.0
Morpheus," Trinity, don’t you quit on me now.",7,0.0
Trinity, I’m sorry.,2,-0.0772
Neo," Trinity. Trinity, I know you can hear me. I’m not letting go. I can’t. I love you too damn much.",20,0.3612
Link, I can’t take this.,4,0.0
Trinity, I guess that makes us even.,6,0.0
Morpheus," I don’t understand it. Everything was done as it was supposed to be done. Once The One reaches the Source, the war should be over.",25,-0.5719
Neo, In 24 hours it will be.,6,0.0
Morpheus, What?,1,0.0
Neo," If we don’t do something in 24 hours, Zion will be destroyed.",12,-0.4939
Link, What?,1,0.0
Trinity, How do you know that?,5,0.0
Neo, I was told it would happen.,6,0.0
Morpheus, By whom?,2,0.0
Neo, It doesn’t matter. I believed him.,6,0.0258
Morpheus," That’s impossible, the prophecy tells us…",6,0.0
Neo," It was a lie, Morpheus. The prophecy was a lie. The One was never meant to end anything. It was all another system of control.",25,0.0
Morpheus, I don’t believe that.,4,0.0
Neo," But you said it yourself – how can the prophecy be true if the war isn’t over? I’m sorry. I know it isn’t easy to hear, but I swear to you it’s the truth.",34,0.5267
Trinity, What are we gonna do?,5,0.0
Neo, I don’t know.,3,0.0
Link, Oh no.,2,-0.296
Link, What are they doing?,4,0.0
Trinity, They’re just out of EMP range.,6,0.0
Neo, It’s a bomb. We have to get out of here. Now.,11,-0.4939
Morpheus," I have dreamed a dream, and now that dream has gone from me.",13,0.4588
Link," Here they come. Let’s go, Morpheus.",6,0.0
Neo, We won’t make it.,4,0.0
Trinity, We have to try. Come on.,6,0.0
Neo, Something’s different. I can feel them.,6,0.0
Trinity, Neo!,1,0.0
Morpheus, What happened?,2,0.0
Trinity, I don’t know.,3,0.0
Link, It’s the Hammer.,3,0.0
Maggie," He’s in some kind of coma, but his vitals are stable. What about you?",14,0.6652
Trinity, I’m fine.,2,0.2023
Maggie, You could use some rest.,5,0.0
Trinity," No, I’m gonna stay with him.",6,-0.296
Roland," Lock was right. He guessed that the machines would cut off the mainlines in and out of Zion. He thought a counterattck might suprise them. It sounded good, we figured we had a shot, until someone screwed it up.",39,-0.34
Colt, An EMP was triggered before we could get in position.,10,0.0
Mauser, 5 ships were instantly down.,5,0.0
Colt," When the machines broke through, it wasn’t a battle, it was a slaughter.",13,-0.6597
Link," Was it an accident, some sort of malfunction?",8,-0.4767
AK, No one knows.,3,-0.296
Roland, Someone does.,2,0.0
Morpheus, Who?,1,0.0
Roland," Once the machines were done with us, they started digging again. We made a quick pass to look for survivors.",20,0.0
Link, You found one?,3,0.0
Roland, Only one.,2,0.0
